"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: OBÈINE, LETO, SPOL , MERITVE"

" ";" ";"Spol - SKUPAJ"
" ";" ";"4 Stopnja registrirane brezposelnosti"
"Ajdovšèina"
" ";"2005";7.0
" ";"2006";7.2
" ";"2007";6.2
" ";"2008";5.0
" ";"2009";7.2
" ";"2010";9.4
" ";"2011";12.0
" ";"2012";13.3
" ";"2013";14.7
" ";"2014";12.9
" ";"2015";11.4
" ";"2016";9.8
"Ankaran/Ancarano"
" ";"2005";-
" ";"2006";-
" ";"2007";-
" ";"2008";-
" ";"2009";-
" ";"2010";-
" ";"2011";-
" ";"2012";-
" ";"2013";-
" ";"2014";-
" ";"2015";8.5
" ";"2016";9.0
"Apaèe"
" ";"2005";-
" ";"2006";-
" ";"2007";13.7
" ";"2008";12.0
" ";"2009";15.2
" ";"2010";16.6
" ";"2011";17.2
" ";"2012";16.1
" ";"2013";16.3
" ";"2014";17.9
" ";"2015";18.2
" ";"2016";18.2
"Beltinci"
" ";"2005";14.8
" ";"2006";13.0
" ";"2007";11.7
" ";"2008";10.5
" ";"2009";14.1
" ";"2010";19.1
" ";"2011";17.3
" ";"2012";16.1
" ";"2013";17.0
" ";"2014";18.5
" ";"2015";19.0
" ";"2016";16.7
"Benedikt"
" ";"2005";8.6
" ";"2006";7.7
" ";"2007";5.7
" ";"2008";4.6
" ";"2009";7.5
" ";"2010";8.9
" ";"2011";8.4
" ";"2012";8.2
" ";"2013";10.1
" ";"2014";9.5
" ";"2015";9.4
" ";"2016";10.0
"Bistrica ob Sotli"
" ";"2005";13.6
" ";"2006";12.6
" ";"2007";13.1
" ";"2008";11.7
" ";"2009";14.0
" ";"2010";13.8
" ";"2011";11.9
" ";"2012";12.7
" ";"2013";12.5
" ";"2014";13.0
" ";"2015";13.5
" ";"2016";10.7
"Bled"
" ";"2005";6.7
" ";"2006";5.7
" ";"2007";4.2
" ";"2008";3.7
" ";"2009";5.6
" ";"2010";7.0
" ";"2011";7.7
" ";"2012";8.1
" ";"2013";9.5
" ";"2014";9.5
" ";"2015";8.4
" ";"2016";7.2
"Bloke"
" ";"2005";5.7
" ";"2006";4.1
" ";"2007";3.7
" ";"2008";4.2
" ";"2009";6.5
" ";"2010";7.6
" ";"2011";8.1
" ";"2012";9.1
" ";"2013";15.5
" ";"2014";12.8
" ";"2015";11.0
" ";"2016";9.5
"Bohinj"
" ";"2005";3.9
" ";"2006";4.0
" ";"2007";3.0
" ";"2008";2.3
" ";"2009";4.0
" ";"2010";4.9
" ";"2011";7.9
" ";"2012";7.7
" ";"2013";7.9
" ";"2014";8.1
" ";"2015";7.5
" ";"2016";7.2
"Borovnica"
" ";"2005";5.1
" ";"2006";4.3
" ";"2007";3.4
" ";"2008";3.6
" ";"2009";6.4
" ";"2010";7.9
" ";"2011";9.0
" ";"2012";11.0
" ";"2013";14.2
" ";"2014";14.2
" ";"2015";13.4
" ";"2016";12.0
"Bovec"
" ";"2005";7.9
" ";"2006";8.9
" ";"2007";7.0
" ";"2008";6.0
" ";"2009";9.4
" ";"2010";10.7
" ";"2011";9.1
" ";"2012";7.0
" ";"2013";10.1
" ";"2014";11.7
" ";"2015";10.1
" ";"2016";8.5
"Braslovèe"
" ";"2005";11.4
" ";"2006";9.5
" ";"2007";8.1
" ";"2008";6.4
" ";"2009";8.7
" ";"2010";9.4
" ";"2011";10.0
" ";"2012";10.2
" ";"2013";12.4
" ";"2014";12.3
" ";"2015";11.0
" ";"2016";9.9
"Brda"
" ";"2005";5.6
" ";"2006";5.7
" ";"2007";4.0
" ";"2008";3.3
" ";"2009";5.4
" ";"2010";6.8
" ";"2011";8.1
" ";"2012";8.1
" ";"2013";9.0
" ";"2014";9.1
" ";"2015";8.0
" ";"2016";6.5
"Brezovica"
" ";"2005";3.5
" ";"2006";4.2
" ";"2007";4.8
" ";"2008";3.7
" ";"2009";5.3
" ";"2010";6.5
" ";"2011";7.8
" ";"2012";7.8
" ";"2013";8.8
" ";"2014";8.7
" ";"2015";8.7
" ";"2016";8.5
"Brežice"
" ";"2005";12.0
" ";"2006";10.9
" ";"2007";9.3
" ";"2008";8.1
" ";"2009";10.4
" ";"2010";12.3
" ";"2011";13.5
" ";"2012";14.3
