"Polnoletni obsojenci (znani storilci) po: KAZNIVO DEJANJE, GLAVNA"
"KAZEN, SPOL , LETO"

" ";" ";"Spol - SKUPAJ";" ";" ";"Moški";" ";" ";"Ženske";" ";" "
" ";" ";"2014";"2015";"2016";"2014";"2015";"2016";"2014";"2015";"2016"
"1.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO"
" ";"111 Zaporna kazen (nepogojna)";9;4;2;8;4;2;1;-;-
" ";"112 Zaporna kazen (pogojna)";14;6;4;14;5;4;-;1;-
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"1.XVI KAZNIVA DEJANJA ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE"
" ";"111 Zaporna kazen (nepogojna)";-;1;-;-;1;-;-;-;-
" ";"112 Zaporna kazen (pogojna)";1;-;-;1;-;-;-;-;-
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"1.XVIII KAZNIVA DEJANJA ZOPER ÈAST IN DOBRO IME"
" ";"111 Zaporna kazen (nepogojna)";-;1;-;-;1;-;-;-;-
" ";"112 Zaporna kazen (pogojna)";7;-;-;4;-;-;3;-;-
" ";"12 Denarna kazen";1;-;-;1;-;-;-;-;-
" ";"13 Sodni opomin";1;-;-;-;-;-;1;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"1.XIX KAZNIVA DEJANJA ZOPER SPOLNO NEDOTAKLJIVOST"
